z,p,cascades,verlauf
1,0.1,927,"[30, 69, 106, 140, 175, 209, 243, 271, 302, 334, 363, 396, 424, 451, 489, 539, 580, 626, 670, 702, 734, 764, 788, 813, 838, 862, 874, 886, 896, 903, 909, 916, 920, 924, 926, 927, 927]"
1,0.11,447,"[30, 58, 86, 121, 150, 175, 199, 221, 243, 275, 305, 332, 360, 378, 396, 413, 421, 430, 434, 436, 438, 440, 443, 446, 447, 447]"
1,0.12,959,"[30, 60, 87, 117, 142, 157, 171, 186, 202, 217, 228, 237, 241, 247, 255, 265, 278, 294, 307, 322, 338, 351, 362, 372, 382, 397, 412, 430, 448, 470, 494, 520, 545, 573, 608, 638, 668, 710, 758, 803, 831, 861, 885, 899, 906, 910, 915, 924, 929, 933, 937, 941, 946, 948, 950, 953, 956, 958, 959, 959]"
1,0.13,1424,"[30, 55, 85, 106, 127, 156, 184, 204, 228, 265, 301, 345, 389, 437, 484, 537, 595, 661, 724, 784, 845, 899, 960, 1011, 1057, 1110, 1155, 1192, 1215, 1241, 1264, 1293, 1323, 1358, 1382, 1401, 1415, 1419, 1422, 1424, 1424]"
1,0.13999999999999999,779,"[30, 54, 80, 109, 133, 157, 183, 210, 236, 269, 309, 350, 383, 414, 442, 471, 498, 522, 547, 574, 609, 639, 668, 690, 707, 729, 745, 764, 770, 773, 777, 779, 779]"
1,0.14999999999999997,447,"[30, 58, 86, 121, 150, 175, 199, 221, 243, 275, 305, 332, 360, 378, 396, 413, 421, 430, 434, 436, 438, 440, 443, 446, 447, 447]"
1,0.15999999999999998,945,"[30, 60, 87, 117, 142, 157, 171, 186, 202, 217, 228, 237, 241, 247, 255, 265, 278, 294, 307, 322, 338, 351, 362, 372, 382, 397, 412, 430, 448, 470, 494, 520, 545, 573, 608, 638, 668, 710, 758, 803, 830, 854, 873, 885, 892, 896, 901, 910, 915, 919, 923, 927, 932, 934, 936, 939, 942, 944, 945, 945]"
1,0.16999999999999998,1346,"[30, 55, 85, 106, 127, 156, 184, 204, 227, 259, 288, 325, 360, 395, 431, 467, 500, 541, 580, 610, 649, 684, 720, 751, 781, 814, 848, 882, 916, 955, 999, 1037, 1079, 1110, 1139, 1169, 1192, 1212, 1234, 1255, 1268, 1283, 1296, 1302, 1309, 1317, 1323, 1326, 1331, 1336, 1339, 1341, 1344, 1346, 1346]"
1,0.17999999999999997,749,"[30, 54, 80, 108, 126, 142, 157, 176, 192, 216, 244, 277, 306, 338, 369, 398, 429, 456, 483, 511, 544, 576, 606, 625, 640, 657, 668, 678, 685, 693, 700, 706, 711, 716, 724, 733, 744, 746, 747, 748, 749, 749]"
1,0.18999999999999995,447,"[30, 58, 86, 121, 150, 175, 199, 221, 243, 275, 305, 332, 360, 378, 396, 413, 421, 430, 434, 436, 438, 440, 443, 446, 447, 447]"
1,0.19999999999999996,932,"[30, 60, 87, 117, 142, 157, 171, 186, 202, 217, 228, 237, 241, 247, 255, 265, 278, 294, 306, 316, 331, 343, 353, 362, 371, 385, 399, 417, 435, 457, 481, 507, 532, 559, 589, 612, 638, 675, 718, 757, 780, 800, 817, 829, 836, 842, 850, 861, 870, 879, 888, 898, 910, 916, 921, 925, 929, 931, 932, 932]"
1,0.20999999999999996,339,"[30, 54, 80, 98, 114, 132, 150, 164, 178, 194, 207, 225, 237, 250, 262, 276, 288, 303, 315, 323, 333, 337, 339, 339]"
1,0.21999999999999995,389,"[30, 54, 80, 108, 126, 142, 155, 165, 172, 184, 198, 211, 226, 241, 256, 266, 277, 283, 292, 302, 313, 327, 340, 349, 355, 366, 372, 379, 383, 385, 388, 389, 389]"
1,0.22999999999999995,310,"[30, 57, 79, 103, 127, 149, 167, 181, 192, 207, 220, 234, 249, 257, 268, 279, 286, 293, 297, 299, 301, 303, 306, 309, 310, 310]"
1,0.23999999999999994,646,"[30, 60, 86, 112, 135, 144, 152, 160, 169, 176, 178, 180, 181, 183, 188, 193, 202, 210, 216, 221, 232, 239, 243, 247, 253, 262, 270, 281, 291, 303, 317, 330, 348, 368, 389, 404, 419, 441, 459, 478, 494, 505, 519, 530, 537, 543, 550, 558, 570, 581, 592, 604, 618, 625, 633, 639, 643, 645, 646, 646]"
1,0.24999999999999992,339,"[30, 54, 80, 98, 114, 132, 150, 164, 178, 194, 207, 225, 237, 250, 262, 276, 288, 303, 315, 323, 333, 337, 339, 339]"
2,0.1,8041,"[30, 79, 171, 348, 682, 1315, 2350, 3789, 5299, 6513, 7298, 7681, 7875, 7960, 8011, 8028, 8035, 8038, 8040, 8041, 8041]"
2,0.11,8015,"[30, 84, 191, 404, 773, 1442, 2490, 3965, 5540, 6707, 7375, 7728, 7884, 7958, 7988, 8001, 8012, 8015, 8015]"
2,0.12,8015,"[30, 92, 212, 444, 898, 1694, 2898, 4447, 5976, 7031, 7575, 7820, 7929, 7971, 7989, 8001, 8011, 8014, 8015, 8015]"
2,0.13,7919,"[30, 86, 196, 377, 699, 1300, 2270, 3694, 5264, 6521, 7243, 7622, 7790, 7858, 7893, 7909, 7914, 7918, 7919, 7919]"
2,0.13999999999999999,8041,"[30, 79, 171, 348, 681, 1307, 2329, 3766, 5275, 6501, 7296, 7681, 7875, 7960, 8011, 8028, 8035, 8038, 8040, 8041, 8041]"
2,0.14999999999999997,8015,"[30, 83, 183, 380, 712, 1306, 2247, 3619, 5168, 6430, 7231, 7662, 7852, 7942, 7977, 7994, 8006, 8014, 8015, 8015]"
2,0.15999999999999998,8015,"[30, 91, 205, 426, 844, 1559, 2668, 4143, 5687, 6833, 7484, 7784, 7920, 7967, 7986, 8000, 8011, 8014, 8015, 8015]"
2,0.16999999999999998,7919,"[30, 85, 187, 342, 586, 987, 1608, 2566, 3877, 5328, 6542, 7293, 7632, 7791, 7865, 7897, 7911, 7917, 7919, 7919]"
2,0.17999999999999997,8027,"[30, 78, 163, 304, 526, 921, 1561, 2524, 3790, 5212, 6474, 7252, 7664, 7860, 7963, 8008, 8020, 8025, 8026, 8027, 8027]"
2,0.18999999999999995,8015,"[30, 82, 168, 311, 539, 934, 1553, 2529, 3869, 5333, 6556, 7316, 7690, 7869, 7945, 7973, 7993, 8009, 8014, 8015, 8015]"
