z,p,limit,cascades,verlauf
1,0.1,1,198,"[30, 51, 66, 79, 94, 109, 122, 132, 141, 154, 167, 175, 181, 186, 188, 190, 192, 194, 197, 198, 198]"
1,0.1,2,549,"[30, 63, 94, 123, 159, 196, 230, 262, 288, 316, 346, 377, 409, 439, 468, 487, 505, 519, 531, 538, 541, 544, 545, 546, 547, 548, 549, 549]"
1,0.1,3,922,"[30, 69, 106, 140, 175, 209, 243, 271, 302, 333, 362, 395, 423, 450, 487, 536, 576, 621, 665, 697, 729, 759, 783, 808, 833, 857, 869, 881, 891, 898, 904, 911, 915, 919, 921, 922, 922]"
1,0.1,4,447,"[30, 58, 86, 121, 150, 175, 199, 221, 243, 275, 305, 332, 360, 378, 396, 413, 421, 430, 434, 436, 438, 440, 443, 446, 447, 447]"
1,0.1,5,959,"[30, 60, 87, 117, 142, 157, 171, 186, 202, 217, 228, 237, 241, 247, 255, 265, 278, 294, 307, 322, 338, 351, 362, 372, 382, 397, 412, 430, 448, 470, 494, 520, 545, 573, 608, 638, 668, 710, 758, 803, 831, 861, 885, 899, 906, 910, 915, 924, 929, 933, 937, 941, 946, 948, 950, 953, 956, 958, 959, 959]"
1,0.1,6,1424,"[30, 55, 85, 106, 127, 156, 184, 204, 228, 265, 301, 345, 389, 437, 484, 537, 595, 661, 724, 784, 845, 899, 960, 1011, 1057, 1110, 1155, 1192, 1215, 1241, 1264, 1293, 1323, 1358, 1382, 1401, 1415, 1419, 1422, 1424, 1424]"
1,0.1,7,779,"[30, 54, 80, 109, 133, 157, 183, 210, 236, 269, 309, 350, 383, 414, 442, 471, 498, 522, 547, 574, 609, 639, 668, 690, 707, 729, 745, 764, 770, 773, 777, 779, 779]"
1,0.1,8,447,"[30, 58, 86, 121, 150, 175, 199, 221, 243, 275, 305, 332, 360, 378, 396, 413, 421, 430, 434, 436, 438, 440, 443, 446, 447, 447]"
1,0.1,9,959,"[30, 60, 87, 117, 142, 157, 171, 186, 202, 217, 228, 237, 241, 247, 255, 265, 278, 294, 307, 322, 338, 351, 362, 372, 382, 397, 412, 430, 448, 470, 494, 520, 545, 573, 608, 638, 668, 710, 758, 803, 831, 861, 885, 899, 906, 910, 915, 924, 929, 933, 937, 941, 946, 948, 950, 953, 956, 958, 959, 959]"
1,0.11,1,156,"[30, 54, 78, 92, 104, 116, 124, 128, 129, 130, 132, 134, 136, 139, 142, 144, 146, 149, 151, 152, 154, 155, 156, 156]"
1,0.11,2,703,"[30, 54, 80, 109, 131, 153, 176, 200, 223, 253, 287, 321, 348, 374, 397, 421, 444, 466, 488, 510, 537, 564, 592, 614, 631, 653, 669, 688, 694, 697, 701, 703, 703]"
1,0.11,3,447,"[30, 58, 86, 121, 150, 175, 199, 221, 243, 275, 305, 332, 360, 378, 396, 413, 421, 430, 434, 436, 438, 440, 443, 446, 447, 447]"
1,0.11,4,956,"[30, 60, 87, 117, 142, 157, 171, 186, 202, 217, 228, 237, 241, 247, 255, 265, 278, 294, 307, 322, 338, 351, 362, 372, 382, 397, 412, 430, 448, 470, 494, 520, 545, 573, 608, 638, 668, 710, 758, 803, 831, 860, 883, 896, 903, 907, 912, 921, 926, 930, 934, 938, 943, 945, 947, 950, 953, 955, 956, 956]"
1,0.11,5,1424,"[30, 55, 85, 106, 127, 156, 184, 204, 228, 265, 301, 345, 389, 437, 484, 537, 595, 661, 724, 784, 845, 899, 960, 1011, 1057, 1110, 1155, 1192, 1215, 1241, 1264, 1293, 1323, 1358, 1382, 1401, 1415, 1419, 1422, 1424, 1424]"
