z,p,cutoff,cascades,verlauf
1.6244,0.1,0.001,3257,"[30, 67, 115, 184, 279, 419, 631, 913, 1316, 1791, 2306, 2715, 2958, 3114, 3181, 3224, 3246, 3252, 3256, 3257, 3257]"
1.6272,0.11,0.001,3204,"[30, 73, 151, 258, 402, 620, 917, 1304, 1794, 2314, 2706, 2919, 3050, 3127, 3168, 3186, 3191, 3198, 3203, 3204, 3204]"
1.66,0.12,0.001,3276,"[30, 81, 161, 289, 487, 779, 1182, 1720, 2276, 2736, 3019, 3167, 3233, 3262, 3273, 3276, 3276]"
1.6928,0.13,0.001,3405,"[30, 62, 104, 158, 234, 335, 467, 678, 995, 1436, 1999, 2547, 2943, 3194, 3321, 3371, 3392, 3403, 3405, 3405]"
1.6528,0.13999999999999999,0.001,3283,"[30, 70, 137, 232, 359, 545, 821, 1218, 1680, 2213, 2657, 2956, 3128, 3205, 3250, 3273, 3279, 3282, 3283, 3283]"
1.6852,0.14999999999999997,0.001,3326,"[30, 77, 134, 212, 327, 492, 746, 1119, 1624, 2195, 2677, 3003, 3176, 3258, 3297, 3313, 3322, 3326, 3326]"
1.6116,0.15999999999999998,0.001,3218,"[30, 67, 129, 222, 349, 521, 752, 1085, 1558, 2068, 2543, 2861, 3050, 3136, 3184, 3207, 3213, 3217, 3218, 3218]"
1.652,0.16999999999999998,0.001,3293,"[30, 68, 126, 195, 310, 481, 722, 1053, 1476, 1996, 2488, 2867, 3086, 3200, 3258, 3281, 3291, 3293, 3293]"
1.6908,0.17999999999999997,0.001,3300,"[30, 72, 140, 248, 390, 584, 852, 1254, 1829, 2401, 2812, 3062, 3195, 3264, 3283, 3289, 3293, 3295, 3298, 3299, 3300, 3300]"
1.6748,0.18999999999999995,0.001,3237,"[30, 87, 168, 293, 482, 781, 1185, 1679, 2215, 2670, 2957, 3094, 3176, 3214, 3230, 3236, 3237, 3237]"
1.7376,0.19999999999999996,0.001,3374,"[30, 74, 154, 269, 445, 681, 1040, 1590, 2207, 2713, 3023, 3199, 3300, 3348, 3362, 3368, 3371, 3373, 3374, 3374]"
1.624,0.20999999999999996,0.001,3210,"[30, 64, 114, 194, 295, 432, 637, 916, 1324, 1810, 2328, 2714, 2938, 3063, 3134, 3170, 3188, 3200, 3205, 3207, 3210, 3210]"
1.6656,0.21999999999999995,0.001,3269,"[30, 75, 137, 226, 358, 578, 926, 1406, 2013, 2565, 2929, 3122, 3204, 3245, 3257, 3263, 3266, 3269, 3269]"
1.6552,0.22999999999999995,0.001,3276,"[30, 65, 109, 160, 239, 364, 534, 807, 1207, 1698, 2205, 2661, 2948, 3111, 3188, 3224, 3251, 3265, 3272, 3276, 3276]"
1.6252,0.23999999999999994,0.001,3226,"[30, 78, 150, 253, 395, 597, 896, 1268, 1759, 2239, 2614, 2887, 3048, 3137, 3179, 3205, 3214, 3218, 3223, 3226, 3226]"
1.7028,0.24999999999999992,0.001,3319,"[30, 69, 114, 172, 259, 365, 513, 748, 1107, 1586, 2145, 2612, 2937, 3123, 3208, 3262, 3294, 3313, 3318, 3319, 3319]"
2.1752,0.1,0.002,3939,"[30, 98, 196, 375, 648, 1177, 2067, 2995, 3553, 3796, 3884, 3916, 3928, 3936, 3939, 3939]"
2.2908,0.11,0.002,3946,"[30, 75, 149, 258, 465, 894, 1724, 2808, 3531, 3819, 3921, 3943, 3946, 3946]"
