z,p,cutoff,cascades,verlauf
1.5976,0.1,0.001,3214,"[5, 6, 9, 20, 43, 89, 173, 324, 582, 974, 1500, 2054, 2525, 2841, 3018, 3107, 3157, 3181, 3195, 3203, 3208, 3210, 3212, 3213, 3214, 3214]"
1.6928,0.11,0.001,3381,"[5, 10, 25, 53, 92, 159, 323, 607, 1112, 1817, 2500, 2964, 3178, 3293, 3345, 3366, 3376, 3381, 3381]"
1.6528,0.12,0.001,3281,"[5, 14, 30, 63, 117, 193, 347, 577, 973, 1530, 2140, 2614, 2936, 3116, 3199, 3248, 3265, 3277, 3281, 3281]"
1.6852,0.13,0.001,3310,"[5, 16, 33, 65, 117, 201, 363, 593, 998, 1562, 2155, 2646, 2959, 3143, 3228, 3268, 3289, 3300, 3304, 3306, 3307, 3310, 3310]"
1.6116,0.13999999999999999,0.001,3210,"[5, 19, 47, 99, 181, 322, 568, 950, 1495, 2097, 2554, 2876, 3076, 3156, 3185, 3198, 3205, 3207, 3208, 3209, 3210, 3210]"
1.652,0.14999999999999997,0.001,3277,"[5, 12, 16, 21, 28, 42, 61, 91, 131, 200, 305, 483, 775, 1211, 1757, 2330, 2745, 3003, 3137, 3209, 3241, 3258, 3270, 3274, 3276, 3277, 3277]"
1.6908,0.15999999999999998,0.001,3288,"[5, 12, 22, 42, 83, 147, 252, 422, 673, 1043, 1542, 2153, 2682, 2989, 3158, 3236, 3267, 3279, 3281, 3282, 3283, 3286, 3287, 3288, 3288]"
1.6748,0.16999999999999998,0.001,3219,"[5, 10, 18, 32, 54, 90, 141, 199, 275, 413, 634, 971, 1416, 1969, 2527, 2880, 3071, 3150, 3196, 3211, 3216, 3218, 3219, 3219]"
1.7376,0.17999999999999997,0.001,3365,"[5, 9, 17, 31, 58, 95, 141, 207, 308, 455, 671, 1033, 1606, 2229, 2693, 3011, 3195, 3295, 3326, 3345, 3357, 3363, 3365, 3365]"
1.624,0.18999999999999995,0.001,3192,"[5, 7, 11, 19, 30, 49, 69, 97, 134, 186, 253, 351, 491, 708, 1046, 1473, 1977, 2450, 2792, 2986, 3078, 3134, 3160, 3176, 3184, 3190, 3192, 3192]"
1.6656,0.19999999999999996,0.001,3245,"[5, 16, 30, 49, 79, 118, 188, 315, 509, 785, 1161, 1670, 2223, 2681, 2973, 3129, 3202, 3227, 3239, 3243, 3244, 3245, 3245]"
1.6552,0.20999999999999996,0.001,17,"[5, 9, 11, 12, 13, 15, 16, 17, 17]"
1.6252,0.21999999999999995,0.001,3173,"[5, 10, 15, 21, 25, 31, 39, 46, 53, 63, 78, 88, 101, 116, 133, 157, 192, 241, 305, 371, 451, 561, 694, 865, 1058, 1285, 1599, 1956, 2321, 2661, 2898, 3028, 3097, 3133, 3151, 3166, 3172, 3173, 3173]"
1.7028,0.22999999999999995,0.001,3291,"[5, 12, 16, 22, 25, 27, 28, 30, 33, 36, 39, 44, 48, 51, 56, 63, 72, 81, 94, 112, 140, 170, 207, 246, 294, 351, 422, 495, 573, 696, 877, 1117, 1424, 1820, 2230, 2594, 2853, 3034, 3156, 3222, 3251, 3266, 3275, 3285, 3289, 3291, 3291]"
1.6748,0.23999999999999994,0.001,3200,"[5, 10, 16, 23, 31, 40, 47, 57, 71, 80, 89, 98, 109, 125, 142, 164, 191, 231, 285, 340, 399, 446, 503, 574, 668, 794, 958, 1196, 1514, 1868, 2279, 2639, 2892, 3039, 3121, 3159, 3178, 3188, 3199, 3200, 3200]"
1.7376,0.24999999999999992,0.001,24,"[5, 8, 11, 14, 17, 21, 23, 24, 24]"
2.1492,0.1,0.002,3813,"[5, 16, 44, 124, 316, 718, 1526, 2574, 3302, 3628, 3760, 3800, 3813, 3813]"
2.2228,0.11,0.002,3908,"[5, 22, 56, 122, 337, 829, 1812, 2964, 3607, 3817, 3886, 3902, 3906, 3908, 3908]"
2.172,0.12,0.002,3894,"[5, 10, 18, 32, 63, 118, 249, 555, 1202, 2235, 3190, 3683, 3830, 3873, 3891, 3894, 3894]"
2.1504,0.13,0.002,3823,"[5, 10, 22, 47, 93, 182, 373, 792, 1624, 2656, 3349, 3652, 3760, 3803, 3821, 3823, 3823]"
2.268,0.13999999999999999,0.002,4004,"[5, 13, 23, 41, 62, 97, 168, 327, 717, 1514, 2707, 3484, 3848, 3965, 3997, 4003, 4004, 4004]"
2.1752,0.14999999999999997,0.002,3932,"[5, 13, 25, 45, 81, 143, 249, 466, 895, 1758, 2780, 3494, 3792, 3883, 3921, 3929, 3932, 3932]"
2.2908,0.15999999999999998,0.002,3941,"[5, 12, 24, 38, 60, 97, 170, 304, 617, 1260, 2325, 3303, 3756, 3896, 3934, 3941, 3941]"
2.1492,0.16999999999999998,0.002,3813,"[5, 15, 31, 56, 95, 159, 241, 355, 555, 950, 1738, 2683, 3376, 3670, 3776, 3800, 3810, 3813, 3813]"
2.2228,0.17999999999999997,0.002,3908,"[5, 19, 34, 56, 95, 156, 257, 421, 688, 1260, 2231, 3160, 3631, 3816, 3877, 3896, 3904, 3908, 3908]"
2.172,0.18999999999999995,0.002,3894,"[5, 10, 17, 24, 37, 57, 87, 133, 202, 324, 537, 925, 1605, 2569, 3318, 3691, 3828, 3871, 3885, 3888, 3893, 3894, 3894]"
2.1504,0.19999999999999996,0.002,3823,"[5, 9, 16, 26, 41, 63, 96, 143, 206, 328, 548, 917, 1619, 2584, 3304, 3642, 3759, 3798, 3815, 3822, 3823, 3823]"
2.268,0.20999999999999996,0.002,4004,"[5, 12, 16, 23, 27, 29, 32, 35, 43, 54, 63, 70, 82, 100, 124, 148, 180, 220, 267, 331, 421, 546, 747, 1048, 1610, 2497, 3317, 3750, 3926, 3980, 3998, 4002, 4004, 4004]"
2.1752,0.21999999999999995,0.002,3926,"[5, 12, 21, 31, 43, 59, 70, 80, 90, 107, 124, 140, 160, 182, 208, 230, 266, 324, 392, 464, 553, 682, 878, 1307, 1977, 2788, 3441, 3746, 3859, 3899, 3914, 3923, 3926, 3926]"
2.2908,0.22999999999999995,0.002,3941,"[5, 11, 19, 23, 30, 40, 48, 56, 66, 73, 82, 89, 98, 106, 115, 132, 145, 158, 169, 177, 188, 202, 222, 237, 258, 277, 291, 301, 315, 337, 367, 409, 450, 506, 578, 679, 821, 1032, 1468, 2269, 3169, 3656, 3840, 3908, 3930, 3936, 3939, 3941, 3941]"
2.1492,0.23999999999999994,0.002,3792,"[5, 14, 23, 30, 37, 45, 50, 55, 60, 66, 72, 80, 88, 96, 103, 110, 116, 121, 125, 131, 145, 161, 186, 211, 230, 244, 271, 310, 362, 432, 510, 620, 788, 1057, 1556, 2284, 3021, 3475, 3691, 3762, 3789, 3792, 3792]"
2.2228,0.24999999999999992,0.002,3908,"[5, 18, 29, 41, 53, 61, 73, 88, 103, 119, 136, 155, 180, 209, 238, 274, 310, 364, 422, 505, 610, 764, 992, 1402, 2068, 2932, 3521, 3791, 3881, 3905, 3907, 3908, 3908]"
